year,city,country,avg_temp
1896,Amsterdam,Netherlands,8.80
1897,Amsterdam,Netherlands,9.00
1898,Amsterdam,Netherlands,9.57
1899,Amsterdam,Netherlands,9.32
1900,Amsterdam,Netherlands,9.35
1901,Amsterdam,Netherlands,8.80
1902,Amsterdam,Netherlands,8.32
1903,Amsterdam,Netherlands,9.29
1904,Amsterdam,Netherlands,9.12
1905,Amsterdam,Netherlands,8.88
1906,Amsterdam,Netherlands,9.30
1907,Amsterdam,Netherlands,8.73
1908,Amsterdam,Netherlands,8.60
1909,Amsterdam,Netherlands,8.30
1910,Amsterdam,Netherlands,9.44
1911,Amsterdam,Netherlands,9.93
1912,Amsterdam,Netherlands,9.21
1913,Amsterdam,Netherlands,9.64
1914,Amsterdam,Netherlands,9.69
1915,Amsterdam,Netherlands,8.80
1916,Amsterdam,Netherlands,9.20
1917,Amsterdam,Netherlands,8.32
1918,Amsterdam,Netherlands,9.38
1919,Amsterdam,Netherlands,8.10
1920,Amsterdam,Netherlands,9.50
1921,Amsterdam,Netherlands,10.05
1922,Amsterdam,Netherlands,8.26
1923,Amsterdam,Netherlands,8.78
1924,Amsterdam,Netherlands,8.63
1925,Amsterdam,Netherlands,9.18
1926,Amsterdam,Netherlands,9.63
1927,Amsterdam,Netherlands,8.99
1928,Amsterdam,Netherlands,9.36
1929,Amsterdam,Netherlands,8.40
1930,Amsterdam,Netherlands,9.76
1931,Amsterdam,Netherlands,8.83
1932,Amsterdam,Netherlands,9.44
1933,Amsterdam,Netherlands,9.10
1934,Amsterdam,Netherlands,10.22
1935,Amsterdam,Netherlands,9.65
1936,Amsterdam,Netherlands,9.44
1937,Amsterdam,Netherlands,9.57
1938,Amsterdam,Netherlands,9.79
1939,Amsterdam,Netherlands,9.61
1940,Amsterdam,Netherlands,8.05
1941,Amsterdam,Netherlands,8.54
1942,Amsterdam,Netherlands,8.31
1943,Amsterdam,Netherlands,9.83
1944,Amsterdam,Netherlands,9.38
1945,Amsterdam,Netherlands,10.03
1946,Amsterdam,Netherlands,9.17
1947,Amsterdam,Netherlands,9.41
1948,Amsterdam,Netherlands,9.96
1949,Amsterdam,Netherlands,10.12
1950,Amsterdam,Netherlands,9.48
1951,Amsterdam,Netherlands,9.57
1952,Amsterdam,Netherlands,8.94
1953,Amsterdam,Netherlands,9.82
1954,Amsterdam,Netherlands,8.98
1955,Amsterdam,Netherlands,8.84
1956,Amsterdam,Netherlands,8.15
1957,Amsterdam,Netherlands,9.89
1958,Amsterdam,Netherlands,9.40
1959,Amsterdam,Netherlands,10.17
1960,Amsterdam,Netherlands,9.69
1961,Amsterdam,Netherlands,9.94
1962,Amsterdam,Netherlands,8.12
1963,Amsterdam,Netherlands,7.81
1964,Amsterdam,Netherlands,9.18
1965,Amsterdam,Netherlands,8.74
1966,Amsterdam,Netherlands,9.47
1967,Amsterdam,Netherlands,9.92
1968,Amsterdam,Netherlands,9.14
1969,Amsterdam,Netherlands,9.18
1970,Amsterdam,Netherlands,9.07
1971,Amsterdam,Netherlands,9.51
1972,Amsterdam,Netherlands,8.96
1973,Amsterdam,Netherlands,9.44
1974,Amsterdam,Netherlands,9.73
1975,Amsterdam,Netherlands,9.87
1976,Amsterdam,Netherlands,9.82
1977,Amsterdam,Netherlands,9.66
1978,Amsterdam,Netherlands,8.95
1979,Amsterdam,Netherlands,8.45
1980,Amsterdam,Netherlands,9.12
1981,Amsterdam,Netherlands,9.26
1982,Amsterdam,Netherlands,9.98
1983,Amsterdam,Netherlands,9.95
1984,Amsterdam,Netherlands,9.34
1985,Amsterdam,Netherlands,8.42
1986,Amsterdam,Netherlands,8.79
1987,Amsterdam,Netherlands,8.66
1988,Amsterdam,Netherlands,10.21
1989,Amsterdam,Netherlands,10.57
1990,Amsterdam,Netherlands,10.63
1991,Amsterdam,Netherlands,9.32
1992,Amsterdam,Netherlands,10.39
1993,Amsterdam,Netherlands,9.47
1994,Amsterdam,Netherlands,10.45
1995,Amsterdam,Netherlands,10.25
1996,Amsterdam,Netherlands,8.32
